Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15661200,LosTrifuerza,"2026-05-13 21:59:01",0.87798,54,"itujr27,rubncastaedamatute"
2,16027481,EmirBahaEnsarioglu,"2026-05-20 00:20:20",0.57251,11,"emirbahaensarioglu,gamzecimen,mzz1002"
3,16043135,Javizz09,"2026-05-21 19:41:54",0.53020,27,"javizz09,rgv1006"
4,15895517,LosAmigosDeLosGrafos,"2026-05-09 23:32:11",0.52631,58,"jgs1038,marcoszamorano"
5,15873207,"Yeici & Zitor","2026-05-13 17:06:19",0.52238,71,"juankyd,pablocitores"
6,15495212,"Alfonso DB","2026-05-11 12:39:06",0.50813,137,alfonsodb
7,16016614,"Andres Vera Pablo Velasco","2026-05-19 20:19:53",0.49710,11,"andresveracacho,pablovelasco1007"
8,15644359,"Jessu & Julian","2026-05-13 16:03:17",0.49070,101,"antonionunezcozar,miguelgonpam"
9,16044401,gdp1001,"2026-05-21 19:37:45",0.47174,3,gdp1001
10,15797708,"Power Law","2026-05-21 18:10:53",0.46986,37,"adrinredondogarca,daumienebi"
11,15888046,Alex_3310,"2026-05-07 15:53:25",0.46246,4,alex3310
12,15819268,"Stefano Gil","2026-05-15 05:59:56",0.45700,35,stefanogil
13,16011760,"Raúl Tartaj Villarroya","2026-05-18 14:57:07",0.44471,9,raltartajvillarroya
14,15939139,gcf1006,"2026-05-14 18:15:09",0.44444,25,gcf1006
15,15817686,"Elisa Ajo","2026-05-02 16:14:22",0.44254,4,elisaajo
16,15846596,blg1006Ysap1013,"2026-05-09 17:28:18",0.43855,21,blgysap
17,15986868,"Rodrigo Ortiz Esteban","2026-05-21 15:53:13",0.43627,53,rodrigoortizesteban
18,15949479,"Rubén Alonso Quintana","2026-05-21 08:37:02",0.43414,15,raq1002
19,15631517,RaulSantillan&DavidSantaolalla,"2026-05-21 18:00:49",0.43034,25,"davidsantaolalla,raulsantillan13"
20,15973251,"Ana Ruiz de Grado","2026-05-14 16:50:18",0.42926,3,anaruizdegrado
21,15950884,"Furby & Santana","2026-05-21 15:14:15",0.42926,6,"davidsantamaria1111,diegoguerreromonzon"
22,15849964,"Nuño Iglesias","2026-05-21 07:53:41",0.42926,71,nuoiglesias
23,15993467,TELLEJAVI,"2026-05-19 20:21:37",0.42926,19,tellejavi
24,16004994,"Ivan Nebreda","2026-05-21 21:43:10",0.42910,16,ivannebreda
25,15539355,fernadoarrored,"2026-05-12 10:13:22",0.42839,40,fernadoarrored
26,15936526,dbr1006,"2026-05-21 16:10:40",0.42416,10,"dbr1006,rodrigosolbes"
27,15541417,"Luis Menendez Ramos","2026-05-03 09:26:04",0.42350,92,luismenendezramos
28,15820553,"Ignacio Puebla","2026-05-03 19:43:24",0.42014,32,ignaciopuebla
29,15622196,"José Gallardo & María Molina","2026-05-13 19:15:45",0.41697,9,joseleelsuper
30,15769430,Marcelo,"2026-05-14 08:40:38",0.41210,8,verteramo
31,16042984,"David Santamaría","2026-05-21 15:12:38",0.40954,1,davidsantamaria11111
32,16044521,"EL KILANI FATIHA","2026-05-21 20:04:06",0.40197,1,"elkilanifatiha,rebecacuestaestepar"
33,15875629,"Marcos y Laura","2026-05-21 16:50:04",0.39596,2,"laurarodram,marcossanpedro"
34,15997100,"Lucia Benito y Andre Joao","2026-05-20 21:23:23",0.37390,1,luciabenito
35,16037041,"Álvaro Ayllon & Mario Remacha","2026-05-20 23:27:17",0.37000,10,"lvaroayllonllorente,marioremacha"
36,16025889,"Miguel Parra Bolívar","2026-05-20 14:30:47",0.34744,4,miguelparrabolvar
0,15478235,sandbox_submission.csv,"2026-03-24 12:09:40",0.22500,1,
