iter	Passed	Remaining
0	22	18016
1	41	16443
2	63	16896
3	81	16286
4	100	15990
5	120	15903
6	136	15519
7	155	15377
8	175	15419
9	194	15381
10	213	15323
11	230	15141
12	251	15207
13	270	15160
14	286	15007
15	303	14866
16	321	14820
17	339	14757
18	357	14688
19	376	14683
20	393	14604
21	414	14645
22	435	14717
23	453	14662
24	469	14568
25	488	14552
26	510	14615
27	527	14548
28	547	14561
29	565	14506
30	582	14452
31	601	14425
32	616	14334
33	631	14229
34	650	14219
35	668	14180
36	688	14202
37	708	14213
38	727	14198
39	746	14191
40	764	14154
41	784	14152
42	807	14223
43	828	14228
44	852	14301
45	871	14277
46	888	14240
47	903	14157
48	922	14134
49	942	14130
50	961	14115
51	979	14087
52	999	14092
53	1017	14058
54	1033	14005
55	1054	14012
56	1073	13991
57	1094	13997
58	1115	14008
59	1134	13987
60	1152	13957
61	1169	13915
62	1188	13905
63	1208	13897
64	1225	13857
65	1247	13876
66	1267	13864
67	1286	13850
68	1305	13833
69	1327	13844
70	1348	13845
71	1367	13831
72	1386	13810
73	1413	13863
74	1431	13841
75	1452	13836
76	1473	13835
77	1495	13845
78	1519	13863
79	1544	13897
80	1564	13883
81	1581	13848
82	1603	13854
83	1626	13865
84	1642	13817
85	1660	13789
86	1677	13745
87	1693	13704
88	1714	13695
89	1735	13694
90	1756	13683
91	1775	13664
92	1816	13810
93	1843	13848
94	1866	13848
95	1883	13810
96	1899	13769
97	1915	13722
98	1934	13700
99	1954	13683
100	1976	13676
101	1991	13630
102	2014	13630
103	2034	13615
104	2051	13582
105	2079	13612
106	2093	13562
107	2110	13525
108	2126	13478
109	2142	13437
110	2160	13412
111	2179	13387
112	2208	13425
113	2228	13407
114	2246	13379
115	2262	13340
116	2279	13304
117	2297	13277
118	2313	13242
119	2329	13202
120	2345	13164
121	2362	13127
122	2378	13089
123	2392	13043
124	2410	13017
125	2426	12977
126	2439	12929
127	2458	12908
128	2473	12867
129	2492	12846
130	2509	12814
131	2526	12786
132	2542	12749
133	2556	12705
134	2573	12677
135	2588	12637
136	2602	12594
137	2621	12576
138	2636	12535
139	2649	12492
140	2664	12455
141	2677	12408
142	2692	12371
143	2706	12329
144	2723	12302
145	2738	12264
146	2754	12235
147	2769	12198
148	2786	12172
149	2802	12145
150	2819	12119
151	2835	12089
152	2854	12070
